 time            vo              q               p1              p2             
 3.45052729e-05 -4.47960743e-01  5.91583000e-08  0.00000000e+00  1.20000000e+00 
 3.45053507e-05 -4.47671204e-01  5.91579015e-08  0.00000000e+00  1.20000000e+00 
 3.45055063e-05 -4.47095487e-01  5.91579636e-08  0.00000000e+00  1.20000000e+00 
 3.45058175e-05 -4.45957372e-01  5.91580875e-08  0.00000000e+00  1.20000000e+00 
 3.45064399e-05 -4.43733325e-01  5.91581066e-08  0.00000000e+00  1.20000000e+00 
 3.45076847e-05 -4.39485619e-01  5.91581010e-08  0.00000000e+00  1.20000000e+00 
 3.45101743e-05 -4.31729829e-01  5.91580998e-08  0.00000000e+00  1.20000000e+00 
 3.45129689e-05 -4.24084534e-01  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 3.45157869e-05 -4.17380702e-01  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 3.45186033e-05 -4.11563393e-01  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 3.45213314e-05 -4.06662981e-01  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 3.45240603e-05 -4.02390798e-01  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 3.45267479e-05 -3.98720145e-01  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 3.45294538e-05 -3.95493927e-01  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 3.45321421e-05 -3.92695795e-01  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 3.45348468e-05 -3.90237994e-01  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 3.45375403e-05 -3.88101348e-01  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 3.45402442e-05 -3.86228948e-01  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 3.45429399e-05 -3.84599522e-01  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 3.45456419e-05 -3.83173760e-01  5.91580998e-08  0.00000000e+00  1.20000000e+00 
 3.45483381e-05 -3.81931898e-01  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 3.45510729e-05 -3.80833041e-01  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 3.45539728e-05 -3.79821460e-01  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 3.45569766e-05 -3.78917834e-01  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 3.45601746e-05 -3.78094206e-01  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 3.45635086e-05 -3.77365297e-01  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 3.45670551e-05 -3.76712765e-01  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 3.45707773e-05 -3.76142107e-01  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 3.45747469e-05 -3.75640344e-01  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 3.45789476e-05 -3.75207899e-01  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 3.45834511e-05 -3.74835362e-01  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 3.45882615e-05 -3.74520557e-01  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 3.45934580e-05 -3.74256227e-01  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 3.45990703e-05 -3.74038857e-01  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 3.46051968e-05 -3.73862447e-01  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 3.46119058e-05 -3.73722869e-01  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 3.46193372e-05 -3.73614905e-01  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 3.46276262e-05 -3.73534266e-01  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 3.46370012e-05 -3.73476313e-01  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 3.46470012e-05 -3.73439163e-01  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 3.46570012e-05 -3.73417668e-01  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 3.46670012e-05 -3.73405460e-01  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 3.46770012e-05 -3.73398626e-01  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 3.46870012e-05 -3.73394844e-01  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 3.46970012e-05 -3.73392771e-01  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 3.47070012e-05 -3.73391643e-01  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 3.47170012e-05 -3.73391033e-01  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 3.47270012e-05 -3.73390706e-01  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 3.47370012e-05 -3.73390531e-01  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 3.47470012e-05 -3.73390437e-01  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 3.47570012e-05 -3.73390388e-01  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 3.47670012e-05 -3.73390362e-01  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 3.47770012e-05 -3.73390348e-01  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 3.47870012e-05 -3.73390340e-01  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 3.47970012e-05 -3.73390337e-01  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 3.48070012e-05 -3.73390335e-01  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 3.48170012e-05 -3.73390333e-01  5.91580998e-08  0.00000000e+00  1.20000000e+00 
